MES,FECHA VENTA,LÍNEA DE NEGOCIO,SUBCATEGORÍA 1,SUBCATEGORÍA 2,CANTIDAD,SUBTOTAL,TOTAL,COSTO 1,COSTO 2,COSTO 3,COSTO 4,COSTO 5,COSTO 6,COSTO 7,COSTO 8,COSTO 9,COSTO 10,COSTO 11,COSTO 12,COSTO 13,COSTO 14,COSTO 15,COSTO 16,COSTO 17,COSTO 18,COSTO 19,COSTO 20,COSTO 21,COSTO 22,COSTO 23,COSTO 24,COSTO 25,COSTO 26,COSTO 27,COSTO 28,COSTO 29,COSTO 30,COSTO 31,COSTO 32,COSTO 33,COSTO 34,COSTO 35,COSTO 36,COSTO 37,COSTO 38,COSTO 39,COSTO 40,COSTO 41,COSTO 42,COSTO 43,COSTO 44,COSTO 45,COSTO 46,COSTO 47,COSTO 48,COSTO 49,COSTO 50,COSTO TOTAL SIN IVA,COSTO TOTAL DEL SERVICIO,UTILIDAD BRUTA,MARGEN BRUTO,COL ESPECIAL 1,COL ESPECIAL 2,COL ESPECIAL 3,COL ESPECIAL 4,COL ESPECIAL 5,COL ESPECIAL 6
FEBRERO 2026,,JUR,Alimentos,NG CHU-TORO CON FOIE Y ACEITE,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,NG HAMACHI CON ACEITE TRUFA,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,NG KAMA-TORO CON FOIE,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,NG KAMA-TORO CON FOIE Y ACEITE,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,NG LUBINA CON ACEITE DE TRUFA,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,NG O-TORO CON FOIE,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,NG O-TORO CON FOIE Y ACEITE,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,NG SALMON CON ACEITE TRUFA,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,NG SALMON CON RAYU,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
FEBRERO 2026,,JUR,Alimentos,NG UNAGUI CON ACEITE TRUFA,0,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,ESP COM NIGIRI,,,,,
